name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
Pre-Mending Legendary Creature,Professor Shinobi,Q&A,"Answer the following questions: Have you played Magic the Gathering? When did you start? If they say yes and before 2006, you will earn this badge ribbon.",Co-Head of Charity and frequent panelist,Magic: the Gathering,"Friday, Saturday, Sunday"
Post-Mending Legendary Creature,Professor Shinobi,Q&A,"Answer the following questions: Have you played Magic the Gathering? When did you start? If they say yes and after 2005, you will earn this badge ribbon.",Chairty Co-Head and frequent panelist,Magic: the Gathering,"Friday, Saturday, Sunday"
Plus-Size Cosplayer Supporter,HorusCosplays,Connection,Just come up to me and say that you support plus-size cosplayers or ask about being a plus-size cosplayer and I’ll give you a fact about what it’s like being one and the ribbon,In my social media I post each cosplay I am in and also they can ask my mutuals “where’s Horus?” To find the ribbon,No,"Friday, Saturday, Sunday"
Traded!,Ashley,Connection,"Give a ribbon, get 2 ribbions. One for you and one to trade",Wearing a tiara,No,"Friday, Saturday, Sunday"
All My Best Friends Have Paws,Pawsitively Cozy,Action,"Trade a Cat Ribbon/Sticker, Spend $15+ at my Aritst Alley Booth, or Buy for $5",Pawsitively Cozy - Artist Alley Booth #34,N/A,"Friday, Saturday, Sunday"
Meooooooow,Pawsitively Cozy,Action,Subscribe to Pawsitively Cozy on Youtube (or buy for $5),Pawsitively Cozy - Artist Alley Booth #34,N/A,"Friday, Saturday, Sunday"
Kitty Ghost Fan Club,Pawsitively Cozy,Action,"Buy a Kitty Ghost Product (jumbo, mini, mystery, sticker) from Pawsitively Cozy",Pawsitively Cozy - Artist Alley Booth #34,N/A,"Friday, Saturday, Sunday"
Selúne's Blessing,TaroDoesCosplay,Q&A,Accept the Moon Maiden as your goddess 🙏,Find Isobel Thorm (bg3) on the con floor! (Saturday only),Baldur's Gate 3,Saturday
Kon star,Wes,Action,By being filmed for the kon music video,Carrying a camera,no,"Friday, Saturday, Sunday"
WAAAH!,EB,Achievement,"Give me your best ""WAAAH!""",Find Waluigi with a blue shell!,Mario/Nintendo,"Friday, Saturday"
Sketch 'em all!,EB,Exclusive,Attend the Sketch 'Em All panel and snag one at the end!,Find the Team Rocket Grunt with Houndoom!,Pokemon,Sunday
Not a Bot,Fenyx,Achievement,Prove you are a member of the Anime NebrasKon discord server,Probably with a baby. Going to update pictures of what I’m wearing in the discord channel each day,,"Friday, Saturday, Sunday"
